numcode,country,PECons1971,PECons1972,PECons1973,PECons1974,PECons1975,PECons1976,PECons1977,PECons1978,PECons1979,PECons1980,PECons1981,PECons1982,PECons1983,PECons1984,PECons1985,PECons1986,PECons1987,PECons1988,PECons1989,PECons1990,PECons1991,PECons1992,PECons1993,PECons1994,PECons1995,PECons1996,PECons1997,PECons1998,PECons1999,PECons2000,PECons2001,PECons2002,PECons2003,PECons2004,PECons2005,PECons2006,PECons2007,PECons2008,PECons2009,PECons2010,PECons2011,PECons2012,PECons2040
270,Gambia,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.020684286
288,Ghana,0.118898,0.125768,0.133515,0.140197,0.145215,0.14533,0.15426,0.15389,0.155126,0.159652,0.167033,0.171722,0.145687,0.155708,0.172695,0.17958,0.194625,0.190447,0.205344,0.209948,0.217252,0.225012,0.235769,0.245328,0.25678,0.265612,0.27754,0.293317,0.3046,0.30277,0.311085,0.315378,0.306951,0.310957,0.312129,0.329681,0.330442,0.329573,0.345544,0.367567,0.380368,0.401979,0.438323821
324,Guinea,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.450033323
624,Guinea-Bissau,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.066116497
404,Kenya,0.208842,0.218401,0.224226,0.232755,0.238484,0.250182,0.262641,0.270644,0.280501,0.291033,0.29933,0.304944,0.310361,0.328475,0.34282,0.373655,0.389234,0.399117,0.413876,0.422761,0.430705,0.442076,0.453181,0.458301,0.480642,0.498346,0.504716,0.524123,0.536059,0.557673,0.565783,0.574238,0.587122,0.618368,0.642505,0.672649,0.686237,0.70978,0.753193,0.785986,0.804675,0.814995,1.066522067
426,Lesotho,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.05556385
430,Liberia,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.203859199
434,Libya,0.062304,0.087202,0.103093,0.114985,0.145418,0.131911,0.163997,0.185899,0.208359,0.273414,0.294036,0.319111,0.335204,0.364304,0.3959,0.400175,0.436827,0.419885,0.455879,0.443128,0.449545,0.447284,0.464243,0.52419,0.554975,0.590955,0.600981,0.608788,0.601094,0.630958,0.649199,0.672582,0.692001,0.711391,0.706952,0.695602,0.650904,0.697492,0.776857,0.815751,0.538365,0.680327,3.220781322
450,Madagascar,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,1.07455782
454,Malawi,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.216873826
